route_id,route_short_name,route_long_name,route_color,route_type
Q10,Q10,Jfk Airtrain - Kew Gardens Via Rockaway,FAA61A,bus
Q11,Q11,Howard Beach - Elmhurst,6CBE45,bus
Q18,Q18,Astoria - Maspeth,FAA61A,bus
Q19,Q19,Flushing - Astoria,FAA61A,bus
Q22,Q22,Rockaway Beach Bl / Beach Channel Dr,EE352E,bus
Q23,Q23,East Elmhurst - Forest Hills,FAA61A,bus
Q25,Q25,College Point - Jamaica,FAA61A,bus
Q26,Q26,College Point - Fresh Meadows,FAA61A,bus
Q28,Q28,Flushing - Bay Terrace Rush,B933AD,bus
Q32,Q32,Jackson Heights - Penn Station (Midtown),FAA61A,bus
Q33,Q33,Marine Air Terminal Lga-Jackson Heights,FAA61A,bus
Q35,Q35,Rockaway Park - Midwood / Brooklyn Coll.,006CB7,bus
Q37,Q37,Kew Gardens - South Ozone Park,00AEEF,bus
Q40,Q40,South Ozone Park - Jamaica,B933AD,bus
Q41,Q41,Jamaica - Howard Beach,FAA61A,bus
Q47,Q47,East Elmhurst - Glendale,FAA61A,bus
Q49,Q49,East Elmhurst - Jackson Heights,FAA61A,bus
Q50,Q50,Co-Op City/Pelham Bay - Flushing Ltd,EE352E,bus
Q51,Q51,Linden Blvd Limited,EE352E,bus
Q60,Q60,Queens Blvd. - East Midtown,FAA61A,bus
Q63,Q63,Flushing - Long Island City Rush,B933AD,bus
Q64,Q64,Electchester - Forest Hills,FAA61A,bus
Q65,Q65,Flushing - Jamaica,FAA61A,bus
Q66,Q66,Flushing - Long Island City,FAA61A,bus
Q69,Q69,East Elmhurst - Long Island City,FAA61A,bus
Q72,Q72,LaGuardia Airport - Rego Park,FAA61A,bus
Q74,Q74,Forest Hills - Qcc Ltd,EE352E,bus
Q80,Q80,JFK Airtrain - Kew Gardens Via Lefferts,EE352E,bus
B100,B100,Mill Basin - Midwood,B933AD,bus
B103,B103,Canarsie - Downtown Brooklyn Ltd,FAA61A,bus
BM1,BM1,Mill Basin - Downtown/Midtown,00933C,bus
BM2,BM2,Canarsie/Spring Creek - Downtown/Midtown,00933C,bus
BM3,BM3,Sheepshead Bay - Downtown/Midtown,00933C,bus
BM4,BM4,Gerritsen Beach - Downtown/Midtown,00933C,bus
BM5,BM5,Spring Creek - Midtown,00933C,bus
BX23,Bx23,Pelham Bay - Co-Op City,B933AD,bus
BXM1,BxM1,Riverdale - East Midtown,00933C,bus
BXM10,BxM10,Williamsbridge/Morris Park - Midtown,00933C,bus
BXM11,BxM11,Wakefield - Midtown,00933C,bus
BXM18,BxM18,Riverdale - Downtown,00933C,bus
BXM2,BxM2,Riverdale - West Midtown,00933C,bus
BXM3,BxM3,Yonkers - Midtown,00933C,bus
BXM4,BxM4,Woodlawn - Midtown,00933C,bus
BXM6,BxM6,Parkchester - Midtown,00933C,bus
BXM7,BxM7,Co-Op City - Midtown,00933C,bus
BXM8,BxM8,Pelham Bay/City Island - Midtown,00933C,bus
BXM9,BxM9,Throgs Neck - Midtown Express,00933C,bus
Q100,Q100,Rikers Island - Long Island City Ltd,EE352E,bus
Q101,Q101,Steinway - Hunters Point,FAA61A,bus
Q102,Q102,Roosevelt Island - Long Island City,FAA61A,bus
Q103,Q103,Astoria - Hunters Point,FAA61A,bus
Q104,Q104,Astoria - Sunnyside,FAA61A,bus
Q110,Q110,Jamaica Avenue East,FAA61A,bus
Q111,Q111,Rosedale - Jamaica Rush,B933AD,bus
Q112,Q112,Jamaica - East Ny,EE352E,bus
Q113,Q113,Far Rockaway - Jamaica Limited,EE352E,bus
Q114,Q114,Far Rockaway - Jamaica Rush,B933AD,bus
Q115,Q115,Brewer Blvd. Local,EE352E,bus
QM1,QM1,Fresh Meadows - Midtown Express,00933C,bus
QM10,QM10,Lefrak City - Midtown Express,00933C,bus
QM11,QM11,Forest Hills - Downtown Express,00933C,bus
QM12,QM12,Forest Hills - Midtown Express,00933C,bus
QM15,QM15,Lindenwood - Midtown Express,00933C,bus
QM16,QM16,Neponsit - Midtown Express,00933C,bus
QM17,QM17,Far Rockaway - Midtown Express,00933C,bus
QM18,QM18,South Ozone Park - Midtown Express,00933C,bus
QM2,QM2,Bay Terrace - Midtown Express,00933C,bus
QM20,QM20,Bay Terrace - Midtown Express,00933C,bus
QM21,QM21,Rochdale Village - Midtown Exp.,00933C,bus
QM24,QM24,Glendale - Midtown Express,00933C,bus
QM25,QM25,Glendale - Downtown Express,00933C,bus
QM31,QM31,Fresh Meadows - Midtown Express,00933C,bus
QM32,QM32,Bay Terrace - Midtown Express,00933C,bus
QM34,QM34,Glendale - Midtown Express,00933C,bus
QM35,QM35,Glen Oaks - Midtown Express,00933C,bus
QM36,QM36,Lake Success - Midtown Express,00933C,bus
QM4,QM4,Electchester - Midtown Express,00933C,bus
QM40,QM40,Lefrak City - Midtown Express,00933C,bus
QM42,QM42,Forest Hills - Midtown Express,00933C,bus
QM44,QM44,Electchester - Midtown Express,00933C,bus
QM5,QM5,Glen Oaks - Midtown Express,00933C,bus
QM6,QM6,Lake Success - Midtown Express,00933C,bus
QM65,QM65,Laurelton-Rochdale-Lower Manhattan,00933C,bus
QM7,QM7,Fresh Meadows - Downtown Express,00933C,bus
QM8,QM8,Glen Oaks - Downtown Express,00933C,bus
Q52+,Q52-SBS,Elmhurst - Arverne Sbs Vis Woodhaven/Cross Bay,006CB7,bus
Q53+,Q53-SBS,Woodside - Rockaway Park,006CB7,bus
Q70+,Q70-SBS,LaGuardia Link,006CB7,bus
